Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",C_0805,2,100nF,C28233
"C12, C2, C3, C4, C5, C6, C7",C_0805,7,22uF,C45783
C8,C_0805,1,4.7uF,C1779
C9,C_0805,1,1uF,C28323
"CON1, CON2",6 Contact Gold Finger,2,~,
D1,D_0805,1,Yellow,C2296
D3,D_SMC,1,S10JC,C18199110
D4,D_SOD-323,1,BZT52C16S,C19077449
F1,FUSE_3557-2,1,3557-2,
"GND, VIN, VOUT",PROBE_PAD_0805,3,RCT-0C,RCT-0C
L1,ZEMS1040,1,3.3uH,C41415637
Q1,SOT-23-3,1,2N7002,C8545
Q2,DPAK-369C_ONS,1,NTD2955T4G,C10663
"R1, R3",R_0805,2,1kΩ,C17513
R10,R_0805,1,73.2kΩ,C17814
R11,R_0805,1,51kΩ,C17737
R12,R_0805,1,510kΩ,C17733
R13,R_0805,1,300kΩ,C17616
R2,R_0805,1,100Ω,C17408
"R4, R9",R_0805,2,10kΩ,C17414
R5,R_0805,1,2.2Ω,C17521
"R6, R7",R_0805,2,200kΩ,C17539
R8,R_0805,1,191kΩ,C17511
U1,QFN_ED-T1-GE3_VIS,1,SIC438BED-T1-GE3,C511430
