Designator,Mid X,Mid Y,Rotation,Layer
C1,137.3,-113.4364,270.0,top
C10,139.75,-108.458,270.0,top
C12,144.2,-132.2,270.0,top
C2,133.109,-113.4364,270.0,top
C3,135.141,-113.4364,270.0,top
C4,136.2,-132.2,270.0,top
C5,140.2,-132.2,270.0,top
C6,142.2,-132.2,270.0,top
C7,138.2,-132.2,270.0,top
C8,145.3642,-115.2906,90.0,top
C9,151.638,-110.744,90.0,top
CON1,95.99,-120.18,270.0,top
CON2,95.99,-132.88,90.0,bottom
D1,154.7,-109.974,0.0,top
D3,148.6,-125.2,90.0,top
D4,118.8,-115.6,90.0,top
GND,125.0,-134.2,0.0,top
J1,114.8589,-105.466601,270.0,top
L1,138.4,-123.6,90.0,top
Q1,154.861,-113.149,0.0,top
Q2,125.6,-103.3395,0.0,top
R1,154.79,-116.2,0.0,top
R10,150.6,-101.2,270.0,top
R11,142.6,-99.89,90.0,top
R12,135.4,-108.6,90.0,top
R13,133.2,-108.6,270.0,top
R2,150.2156,-115.3668,0.0,top
R3,116.8,-115.6,90.0,top
R4,147.4978,-114.6302,270.0,top
R5,137.75,-108.458,90.0,top
R6,139.8,-99.91,270.0,top
R7,142.4,-108.4,90.0,top
R8,148.0,-101.2,270.0,top
R9,148.844,-109.982,0.0,top
U1,141.572993,-113.474001,0.0,top
VIN,122.0,-134.2,0.0,top
VOUT,130.8,-131.6,0.0,top
